question_id	excluded	exclusion_reason
S001_1_1_1	no	
S001_1_1_2	no	
S001_1_1_3	no	
S001_1_2_1	no	
S001_1_2_2	no	
S001_1_2_3	no	
S001_1_3_1	no	
S001_1_3_2	no	
S001_1_3_3	no	
S001_1_4_1	no	
S001_1_4_2	no	
S001_1_4_3	no	
S001_1_5_1	no	
S001_1_5_2	no	
S001_1_5_3	no	
S001_1_6_1	no	
S001_1_6_2	no	
S001_1_6_3	no	
S001_2_1_1	no	
S001_2_1_2	yes	"Google translate: ""I would like to know which variants individually achieved at least 50% in any week of 2022 in Asia”"
S001_2_1_3	no	
S001_2_2_1	no	
S001_2_2_2	yes	"Google translate: ""I would like to know how many sequences per million inhabitants Brazil has in 2023”"
S001_2_2_3	yes	Not the intended task
S001_2_3_1	no	
S001_2_3_2	no	
S001_2_3_3	no	
S001_2_4_1	no	
S001_2_4_2	no	
S001_3_1_1	no	
S001_3_1_2	no	
S001_3_1_3	no	
S001_3_2_1	no	
S001_3_2_2	no	
S001_3_2_3	no	
S001_3_3_1	no	
S001_3_3_2	no	
S001_3_3_3	no	
S001_3_4_1	no	
S001_3_4_2	no	
S001_3_4_3	no	
S001_3_5_1	no	
S001_3_5_2	no	
S001_3_5_3	no	
S001_3_6_1	no	
S001_3_6_2	no	
S001_3_6_3	no	
S001_4_1_1	no	
S001_4_1_2	no	
S001_4_1_3	no	
S001_4_2_1	no	
S001_4_2_2	no	
S001_4_2_3	no	
S001_4_3_1	no	
S001_4_3_2	no	
S001_4_3_3	no	
S001_4_4_1	no	
S001_4_4_2	no	
S001_4_4_3	no	
S001_4_5_1	no	
S001_4_5_2	no	
S001_4_6_1	no	
S001_4_6_2	no	
S001_5_1_1	yes	"Google translate: ""Are drinks the five most frequent origins of SARS-CoV-2 in the number of available series in 2022 in Asia?”"
S001_5_1_2	no	
S001_5_1_3	no	
S001_5_2_1	yes	Google translate: “How many series were collected in the month in Brazil?” - not “per month”
S001_5_2_2	no	
S001_5_2_3	yes	Google translate: “How many series were collected in the month in Brazil?” - not “per month”
S001_5_3_1	no	
S001_5_3_2	no	
S001_5_3_3	no	
S001_5_4_1	no	
S001_5_4_2	no	
S001_5_4_3	no	
S001_5_5_1	no	
S001_5_5_2	no	
S001_5_5_3	no	
S001_5_6_1	no	
S001_5_6_2	no	
S001_5_6_3	no	
S001_6_1_1	no	
S001_6_1_2	no	
S001_6_1_3	no	
S001_6_2_1	no	
S001_6_2_2	no	
S001_6_2_3	no	
S001_6_3_1	no	
S001_6_3_2	no	
S001_6_4_1	no	
S001_6_5_1	no	
S001_6_6_1	no	
S001_7_1_1	no	
S001_7_1_2	no	
S001_7_1_3	no	
S001_7_2_1	no	
S001_7_2_2	no	
S001_7_2_3	no	
S001_7_3_1	no	
S001_7_3_2	no	
S001_7_3_3	no	
S001_7_4_1	no	
S001_7_4_2	no	
S001_7_4_3	no	
S001_7_5_1	no	
S001_7_5_2	no	
S001_7_5_3	no	
S001_7_6_1	yes	"Google translate: ""In which state of the United States was the XBB.1 variant detected?”"
S001_7_6_2	no	
S001_7_6_3	no	
S001_8_1_1	no	
S001_8_1_2	no	
S001_8_1_3	no	
S001_8_2_1	no	
S001_8_2_2	no	
S001_8_2_3	no	
S001_8_3_1	no	
S001_8_3_2	no	
S001_8_3_3	no	
S001_8_4_1	no	
S001_8_4_2	no	
S001_8_4_3	no	
S001_8_5_1	no	
S001_8_5_2	no	
S001_8_5_3	yes	"We are interested in S:N501Y, not N:501Y"
S001_8_6_1	no	
S001_8_6_2	no	
S001_8_6_3	no	
S001_9_1_1	no	
S001_9_1_2	no	
S001_9_1_3	no	
S001_9_2_1	yes	The task does not ask for the average per month.
S001_9_2_2	no	
S001_9_2_3	yes	The task does not ask for the average per month.
S001_9_3_1	no	
S001_9_3_2	no	
S001_9_3_3	no	
S001_9_4_1	no	
S001_9_4_2	no	
S001_9_4_3	no	
S001_9_5_1	yes	Not asking for “S:70-“
S001_9_5_2	yes	Not asking for “S:70-“
S001_9_5_3	yes	Not asking for “S:70-“
S001_9_6_1	no	
S001_9_6_2	no	
S001_9_6_3	no	
S001_10_1_1	no	
S001_10_1_2	no	
S001_10_1_3	no	
S001_10_2_1	no	
S001_10_2_2	no	
S001_10_2_3	no	
S001_10_3_1	no	
S001_10_3_2	no	
S001_10_3_3	no	
S001_10_4_1	no	
S001_10_4_2	no	
S001_10_4_3	no	
S001_10_5_1	no	
S001_10_5_2	no	
S001_10_5_3	no	
S001_10_6_1	no	
S001_10_6_2	no	
S001_10_6_3	no	
S001_11_1_1	no	
S001_11_1_2	no	
S001_11_2_1	no	
S001_11_2_2	no	
S001_11_2_3	no	
S001_11_3_1	no	
S001_11_3_2	no	
S001_11_4_1	no	
S001_11_4_2	no	
S001_11_4_3	no	
S001_11_5_1	no	
S001_11_5_2	no	
S001_11_6_1	no	
S001_11_6_2	no	